NAME	GENE	SCORE	X	Y	ATAN2	cluster
YAL053W	YAL053W	1.58	-0.02	-1	-1.590793661	G1
YIL025C	YIL025C	1.98	-0.02	-1	-1.590793661	G1
YDR461W	MFA1	1.44	-0.03	-1	-1.600787332	G1
YKR013W	PRY2	9.805	-0.03	-0.99	-1.601090087	G1
YDR400W	YDR400W	2.451	-0.03	-0.99	-1.601090087	G1
YJL072C	YJL072C	1.851	-0.03	-0.99	-1.601090087	G1
YNL169C	PSD1	1.351	-0.04	-0.99	-1.611178402	G1
YER152C	YER152C	2.042	-0.04	-0.99	-1.611178402	G1
YMR305C	YMR305C	3.824	-0.04	-0.99	-1.611178402	G1
YPL208W	YPL208W	3.444	-0.04	-0.99	-1.611178402	G1
YDR501W	YDR501W	2.864	-0.05	-0.99	-1.621258501	G1
YML061C	PIF1	2.254	-0.06	-0.99	-1.631328347	G1
YML021C	UNG1	1.452	-0.06	-0.99	-1.631328347	G1
YLR151C	YLR151C	1.443	-0.06	-0.99	-1.631328347	G1
YGR014W	MSB2	2.458	-0.08	-0.99	-1.651429203	G1
YDR353W	TRR1	2.147	-0.08	-0.99	-1.651429203	G1
YPL241C	CIN2	2.854	-0.1	-0.99	-1.671464979	G1
YGL061C	YGL061C	1.879	-0.1	-0.99	-1.671464979	G1
YLR383W	RHC18	3.979	-0.12	-0.99	-1.691419995	G1
YKL101W	HSL1	4.447	-0.13	-0.99	-1.701362422	G1
YBR007C	YBR007C	1.383	-0.13	-0.99	-1.701362422	G1
YDL096C	YDL096C	2.148	-0.13	-0.99	-1.701362422	G1
YOR248W	YOR248W	2.855	-0.13	-0.99	-1.701362422	G1
YOR176W	HEM15	2.696	-0.14	-0.99	-1.711278955	G1
YIL076W	YIL076W	1.353	-0.14	-0.99	-1.711278955	G1
YOR114W	YOR114W	4.105	-0.16	-0.98	-1.732633758	G1
YOR247W	YOR247W	2.97	-0.16	-0.98	-1.732633758	G1
YNL165W	YNL165W	1.989	-0.17	-0.98	-1.742556478	G1
YER001W	MNN1	7.599	-0.19	-0.98	-1.762298045	G1
YKL066W	YKL066W	2.792	-0.19	-0.98	-1.762298045	G1
YGL060W	YGL060W	2.261	-0.21	-0.97	-1.784000846	G1
YJL019W	YJL019W	2.899	-0.21	-0.97	-1.784000846	G1
YLR154C	YLR154C	2.181	-0.21	-0.97	-1.784000846	G1
YHR154W	YHR154W	1.642	-0.24	-0.96	-1.81577499	G1
YOR283W	YOR283W	1.414	-0.24	-0.96	-1.81577499	G1
YER118C	SSU81	2.655	-0.25	-0.96	-1.825554629	G1
YDL211C	YDL211C	2.957	-0.26	-0.96	-1.835284709	G1
YBR161W	YBR161W	1.851	-0.27	-0.96	-1.844963778	G1
YOR083W	YOR083W	1.436	-0.27	-0.96	-1.844963778	G1
YGR188C	BUB1	3.273	-0.3	-0.95	-1.876675198	G1
YER016W	BIM1	2.001	-0.31	-0.94	-1.889352004	G1
YEL047C	YEL047C	2.425	-0.31	-0.94	-1.889352004	G1
YDL157C	YDL157C	1.995	-0.32	-0.94	-1.898916222	G1
YHR173C	YHR173C	1.771	-0.33	-0.94	-1.908418564	G1
YKL067W	YNK1	3.934	-0.33	-0.94	-1.908418564	G1
YOR195W	SLK19	2.66	-0.34	-0.93	-1.921292954	G1
YJL091C	YJL091C	1.575	-0.34	-0.93	-1.921292954	G1
YML109W	ZDS2	2.075	-0.34	-0.93	-1.921292954	G1
YPL124W	NIP29	2.158	-0.35	-0.93	-1.930744853	G1
YGL027C	CWH41	2.428	-0.36	-0.93	-1.940129984	G1
YLR300W	EXG1	2.926	-0.36	-0.92	-1.943784049	G1
YNL263C	YIF1	1.897	-0.37	-0.92	-1.953175361	G1
YOL016C	CMK2	1.468	-0.4	-0.91	-1.984934877	G1
YHR172W	SPC97	1.477	-0.4	-0.91	-1.984934877	G1
YPR076W	YPR076W	2.115	-0.43	-0.9	-2.016508639	G1
YDR488C	PAC11	1.963	-0.46	-0.88	-2.052460004	G1
YPR106W	ISR1	5.016	-0.48	-0.87	-2.074962288	G1
YGL093W	YGL093W	2.211	-0.48	-0.87	-2.074962288	G1
YOR084W	YOR084W	2.825	-0.49	-0.87	-2.083731341	G1
YLR326W	YLR326W	3.358	-0.5	-0.86	-2.097423598	G1
YNL126W	SPC98	2.57	-0.51	-0.85	-2.111215827	G1
YDR297W	SUR2	2.471	-0.51	-0.85	-2.111215827	G1
YNL166C	YNL166C	1.78	-0.51	-0.85	-2.111215827	G1
YJL173C	RFA3	3.471	-0.52	-0.84	-2.125103823	G1
YNL208W	YNL208W	1.356	-0.53	-0.84	-2.13366456	G1
YDR113C	PDS1	6.298	-0.54	-0.83	-2.147594917	G1
YLR372W	SUR4	1.406	-0.55	-0.83	-2.156013422	G1
YPR075C	OPY2	2.433	-0.57	-0.81	-2.184003676	G1
